uri,label_it,notation
AIBTM194,International games day,
AIBTM195,International Games Week,
AIBTM196,internazionalizzazione,
AIBTM197,Intervista,
AIBTM198,Interviste,
AIBTM199,Isabella Orefice,
AIBTM200,ISML. international School Library Month,
AIBTM201,ISSN,
AIBTM202,Istituzione Biblioteche Bologna,
AIBTM203,Italia digitale,
AIBTM204,Italian Games Day 2019,
AIBTM205,Kamishibai,
AIBTM206,Laboratorio di Biblioteconomia sociale e ricerca applicata alle biblioteche, competenze digitali
AIBTM207,Legature,
AIBTM208,Legature antiche,
AIBTM209,LetterariaMente,
AIBTM210,Letteratura per ragazzi,
AIBTM211,lettura,
AIBTM212,lettura digitale,
AIBTM213,libertà,
AIBTM214,libertà d'espressione,
AIBTM215,Library World Tour,
AIBTM216,librerie,
AIBTM217,libri,
AIBTM218,libri di piccolo formato,
AIBTM219,libri-game,
AIBTM220,librineria,
AIBTM221,Libro,
AIBTM222,libro game,
AIBTM223,lifelonglearning,
AIBTM224,Linguaggio,
AIBTM225,Linked data,
AIBTM226,Ludic History,
AIBTM227,Luigi De Gregori,
AIBTM228,lutto,
AIBTM229,MAB,
AIBTM230,MAB Marche,
AIBTM231,Mamma lingua,
AIBTM232,Maria Abenante,
AIBTM233,Maria Giuseppina Castellano lanzara,
AIBTM234,Maria Pia Carosella,
AIBTM235,markerspace,
AIBTM236,Massimo Pica Ciamarra,
AIBTM237,Materials Library,
AIBTM238,Mercato Unico Digitale,
AIBTM239,MiBACT,
AIBTM240,Michele Casalini,
AIBTM241,MIR,
AIBTM242,Moni Ovadia,
AIBTM243,mooc,
AIBTM244,moodle,
AIBTM245,Motori di ricerca,
AIBTM246,multiculturalismo,
AIBTM247,Multimedia Information Retrieval,
AIBTM248,musei archivi biblioteche,
AIBTM249,Napoli,
AIBTM250,Nati per Leggere,
AIBTM251,Net Neutrality,
AIBTM252,New York Public Library,
AIBTM253,NpL,
AIBTM254,nuova sede,
AIBTM255,Obiettivi di sviluppo sostenibile,
AIBTM256,OLAVeP,
AIBTM257,opac,
AIBTM258,Open Access,
AIBTM259,open science,
